way,node1,node2,count
https://www.openstreetmap.org/way/684038761,https://www.openstreetmap.org/node/6240891293,https://www.openstreetmap.org/node/1452793470,4
https://www.openstreetmap.org/way/168345144,https://www.openstreetmap.org/node/1514746916,https://www.openstreetmap.org/node/10688275515,6
https://www.openstreetmap.org/way/441493097,https://www.openstreetmap.org/node/2840031126,https://www.openstreetmap.org/node/659994498,1
https://www.openstreetmap.org/way/106886951,https://www.openstreetmap.org/node/10209077863,https://www.openstreetmap.org/node/8149136273,1
https://www.openstreetmap.org/way/399265614,https://www.openstreetmap.org/node/10209077688,https://www.openstreetmap.org/node/1825283136,1
https://www.openstreetmap.org/way/1101841628,https://www.openstreetmap.org/node/580263126,https://www.openstreetmap.org/node/4637371916,2
https://www.openstreetmap.org/way/733951367,https://www.openstreetmap.org/node/6873865358,https://www.openstreetmap.org/node/910654065,1
https://www.openstreetmap.org/way/198148387,https://www.openstreetmap.org/node/503423176,https://www.openstreetmap.org/node/1918617853,70
https://www.openstreetmap.org/way/1116384110,https://www.openstreetmap.org/node/10242114213,https://www.openstreetmap.org/node/10210689672,1
https://www.openstreetmap.org/way/71228887,https://www.openstreetmap.org/node/2742010721,https://www.openstreetmap.org/node/1675894405,3
https://www.openstreetmap.org/way/19725112,https://www.openstreetmap.org/node/1123843345,https://www.openstreetmap.org/node/6388740044,1
https://www.openstreetmap.org/way/155465296,https://www.openstreetmap.org/node/1678584225,https://www.openstreetmap.org/node/597808729,3
https://www.openstreetmap.org/way/1068560713,https://www.openstreetmap.org/node/9809043315,https://www.openstreetmap.org/node/2043992153,30
https://www.openstreetmap.org/way/45876446,https://www.openstreetmap.org/node/3144369245,https://www.openstreetmap.org/node/3142864090,2
https://www.openstreetmap.org/way/46343441,https://www.openstreetmap.org/node/592175957,https://www.openstreetmap.org/node/9156123854,1
https://www.openstreetmap.org/way/4235658,https://www.openstreetmap.org/node/25285938,https://www.openstreetmap.org/node/25285927,2
https://www.openstreetmap.org/way/931615530,https://www.openstreetmap.org/node/8636771011,https://www.openstreetmap.org/node/4626542920,5
https://www.openstreetmap.org/way/1068637525,https://www.openstreetmap.org/node/9809651980,https://www.openstreetmap.org/node/9809651979,1
https://www.openstreetmap.org/way/310014584,https://www.openstreetmap.org/node/413125046,https://www.openstreetmap.org/node/353811364,2
https://www.openstreetmap.org/way/24839526,https://www.openstreetmap.org/node/10771990943,https://www.openstreetmap.org/node/269878601,3
https://www.openstreetmap.org/way/310542909,https://www.openstreetmap.org/node/3159712699,https://www.openstreetmap.org/node/417001920,1
https://www.openstreetmap.org/way/282464980,https://www.openstreetmap.org/node/433581508,https://www.openstreetmap.org/node/1887613115,1
https://www.openstreetmap.org/way/448549386,https://www.openstreetmap.org/node/1026407934,https://www.openstreetmap.org/node/4455539852,39
https://www.openstreetmap.org/way/191140489,https://www.openstreetmap.org/node/2017177112,https://www.openstreetmap.org/node/2017178139,9
https://www.openstreetmap.org/way/114252778,https://www.openstreetmap.org/node/1294637305,https://www.openstreetmap.org/node/295598417,1
https://www.openstreetmap.org/way/44960228,https://www.openstreetmap.org/node/268437950,https://www.openstreetmap.org/node/269368429,5
https://www.openstreetmap.org/way/699441577,https://www.openstreetmap.org/node/1284088220,https://www.openstreetmap.org/node/1019040854,1
https://www.openstreetmap.org/way/40297651,https://www.openstreetmap.org/node/1176878032,https://www.openstreetmap.org/node/486151019,10
https://www.openstreetmap.org/way/35743724,https://www.openstreetmap.org/node/5157944734,https://www.openstreetmap.org/node/5157944733,119
https://www.openstreetmap.org/way/343759983,https://www.openstreetmap.org/node/10589578420,https://www.openstreetmap.org/node/470339733,3
https://www.openstreetmap.org/way/683805973,https://www.openstreetmap.org/node/4745468344,https://www.openstreetmap.org/node/1757440732,1
https://www.openstreetmap.org/way/392669585,https://www.openstreetmap.org/node/3958597236,https://www.openstreetmap.org/node/3958597232,10
